EMP_ID,FIRST_NAME,LAST_NAME,GENDER,E_MAIL,DATE_OF_BIRTH,DATE_OF_JOINING,SSN,DEPARTMENT_ID
850297,Shawna,Buck,F,shawna.buck@gmail.com,12/12/1971,12/18/2010,222-11-7603,2
304721,Nathaniel,Burke,M,nathaniel.burke@walmart.com,10/31/1993,4/25/2017,550-99-9897,1
412317,Elisabeth,Foster,F,elisabeth.foster@gmail.com,11/26/1994,3/27/2017,215-91-0004,4
621375,Briana,Lancaster,F,briana.lancaster@yahoo.com,11/24/1975,2/25/2003,534-71-1053,3
787549,Estella,Potter,F,estella.potter@gmail.com,3/13/1995,10/11/2016,644-29-6396,2
520092,Lamont,Woods,M,lamont.woods@hotmail.com,10/13/1991,11/27/2014,037-74-2595,1
795934,Melinda,Lopez,F,melinda.lopez@hotmail.com,9/15/1984,11/22/2005,541-83-6362,3
159108,Shanna,Silva,F,shanna.silva@gmail.com,6/19/1958,10/23/1999,673-48-7003,3
330816,Jasmine,Freeman,F,jasmine.freeman@gmail.com,8/31/1961,2/1/1983,600-99-8437,3
532002,Madge,Sargent,F,madge.sargent@aol.com,10/2/1981,4/13/2006,177-86-7347,1
612850,Bethany,Cline,F,bethany.cline@yahoo.ca,10/1/1986,4/19/2008,700-18-6519,4
483751,Reid,Randolph,M,reid.randolph@gmail.com,1/20/1989,4/8/2017,343-11-4951,4
252938,Antoine,Wiley,M,antoine.wiley@verizon.net,2/22/1996,4/18/2017,078-02-8772,4
966375,Mathew,Hodge,M,mathew.hodge@hotmail.com,7/5/1995,11/11/2016,161-86-9547,2
707520,Bernardo,Austin,M,bernardo.austin@hotmail.com,2/2/1975,1/26/2005,143-23-9034,4
673049,Cole,Jensen,M,cole.jensen@aol.com,2/10/1990,5/30/2011,762-12-1934,1
265124,Tonia,Burns,F,tonia.burns@gmail.com,4/19/1985,9/12/2014,093-02-0725,4
300693,Tod,Holcomb,M,tod.holcomb@outlook.com,6/21/1987,6/5/2015,770-02-9125,4
369712,Yesenia,Guerrero,F,yesenia.guerrero@btinternet.com,3/29/1968,3/3/1994,494-29-3248,4
913253,Carey,Ferrell,M,carey.ferrell@yahoo.com,5/22/1972,10/30/2004,522-99-2018,4
308617,Aileen,Blanchard,F,aileen.blanchard@gmail.com,12/5/1986,7/18/2009,401-73-0903,1
766783,Marta,Cervantes,F,marta.cervantes@gmail.com,2/17/1971,9/17/2016,530-99-5537,2
959506,Arthur,Holloway,M,arthur.holloway@aol.com,9/21/1970,1/27/2004,210-84-4283,4
513011,Tara,Forbes,F,tara.forbes@gmail.com,6/26/1976,9/24/2009,249-99-1301,3
290808,Josef,Griffin,M,josef.griffin@yahoo.com,8/14/1976,2/25/1998,263-99-4192,2
253588,Keri,Slater,F,keri.slater@apple.com,8/3/1960,8/9/1994,391-33-2772,2
865628,Desmond,Wynn,M,desmond.wynn@hotmail.com,7/9/1992,10/1/2013,672-48-8042,3
583924,Adrienne,Puckett,F,adrienne.puckett@verizon.net,5/22/1975,2/22/1997,218-89-2915,2
932453,Beatriz,Knowles,F,beatriz.knowles@gmail.com,2/25/1984,9/16/2011,708-18-8763,3
432168,Jermaine,Sykes,M,jermaine.sykes@apple.com,1/18/1990,5/24/2016,558-99-4351,2
463784,Scott,Best,M,scott.best@cox.net,8/24/1990,12/22/2015,118-98-6210,2
721098,Isabel,Espinoza,F,isabel.espinoza@gmail.com,12/9/1971,10/14/1993,393-33-2020,3
392678,Marcelino,Kinney,M,marcelino.kinney@gmail.com,1/26/1996,2/28/2017,013-94-1066,1
880704,Benjamin,Jennings,M,benjamin.jennings@gmail.com,5/21/1977,6/10/2001,585-99-8326,2
186102,Marcia,Casey,F,marcia.casey@gmail.com,7/24/1966,11/8/2013,433-99-1252,3
350367,Rudolph,Gordon,M,rudolph.gordon@aol.com,4/28/1979,11/12/2001,461-99-0808,3
893976,Beverly,Rosales,F,beverly.rosales@yahoo.com,3/4/1975,4/24/2005,475-55-0832,3
542826,Marcus,Bolton,M,marcus.bolton@aol.com,7/5/1977,1/9/2011,068-02-2280,3
590579,Priscilla,Mays,F,priscilla.mays@gmail.com,9/4/1985,2/26/2017,377-37-1416,1
297741,Lynn,Pena,F,lynn.pena@yahoo.co.in,8/14/1962,11/8/1996,524-99-3502,4
458320,Tessa,Pace,F,tessa.pace@aol.com,12/7/1957,12/29/2012,135-25-6072,1
297059,Rufus,Guerra,M,rufus.guerra@rediffmail.com,12/25/1967,5/1/2004,200-84-8326,4
874971,Roman,Clark,M,roman.clark@aol.com,12/25/1962,1/8/1985,093-02-5729,1
136626,Carmela,Jefferson,F,carmela.jefferson@walmart.com,3/17/1975,2/27/2003,395-33-1359,4
865495,Thurman,Good,M,thurman.good@yahoo.com,1/27/1996,2/6/2017,306-37-8083,1
415161,Lemuel,Guerrero,M,lemuel.guerrero@aol.com,6/7/1985,10/15/2011,759-12-8112,3
279563,Clint,Bridges,M,clint.bridges@aol.com,5/3/1994,10/14/2015,366-39-9002,4
201710,Karyn,Christian,F,karyn.christian@aol.com,5/22/1983,6/18/2017,338-11-7664,4
722543,Lesa,Hughes,F,lesa.hughes@bp.com,2/13/1981,1/3/2016,302-15-6438,2
909337,Rich,Bates,M,rich.bates@apple.com,2/28/1989,1/22/2011,762-12-7813,4
601071,Liz,Frank,F,liz.frank@hotmail.com,3/15/1986,2/14/2009,361-08-6826,3
269523,Kendra,Villarreal,F,kendra.villarreal@gmail.com,10/22/1963,3/30/2007,298-15-2734,2
310986,Maryellen,Mcfadden,F,maryellen.mcfadden@hotmail.co.uk,10/3/1975,4/14/2017,437-99-3995,2
323914,German,Carney,M,german.carney@aol.com,7/21/1958,5/14/2000,117-98-3137,1
928739,Micheal,Shannon,M,micheal.shannon@earthlink.net,12/8/1986,2/27/2015,610-87-0573,2
238992,Carlo,Albert,M,carlo.albert@gmail.com,12/6/1961,12/26/1996,684-24-8918,2
434046,Bianca,Langley,F,bianca.langley@gmail.com,6/3/1960,4/14/1994,548-99-1891,2
971444,Elias,Cabrera,M,elias.cabrera@yahoo.com,7/13/1990,5/2/2016,327-11-4323,4
602683,Alberta,Chapman,F,alberta.chapman@comcast.net,6/5/1972,6/29/1999,043-15-2394,4
145327,Erin,Olsen,M,erin.olsen@yahoo.ca,8/8/1994,4/19/2016,078-02-5597,1
597202,Frederic,Stephenson,M,frederic.stephenson@gmail.com,10/15/1969,4/23/2013,718-18-4544,4
168824,Tanner,Caldwell,M,tanner.caldwell@aol.com,4/8/1968,6/6/1999,651-62-1143,4
616665,Clarence,Powers,M,clarence.powers@gmail.com,7/5/1982,4/11/2005,485-41-0226,3
396135,German,Sheppard,M,german.sheppard@gmail.com,7/29/1991,10/24/2014,521-99-4180,1
966525,Dion,Duffy,M,dion.duffy@aol.com,4/6/1995,1/16/2017,537-71-4655,1
362287,Cornelius,Townsend,M,cornelius.townsend@charter.net,6/2/1970,4/26/2009,440-29-7897,2
798646,Patsy,Koch,F,patsy.koch@gmail.com,7/15/1984,3/9/2010,607-87-2784,2
451972,Waldo,Shields,M,waldo.shields@aol.com,11/29/1970,2/22/2012,770-02-3111,1
993675,Damien,Rose,M,damien.rose@gmail.com,7/15/1965,12/17/2005,619-87-8206,3
807964,Curt,Bridges,M,curt.bridges@microsoft.com,10/22/1978,9/17/2011,633-31-8420,4
769123,Brenton,Matthews,M,brenton.matthews@bellsouth.net,11/6/1970,12/27/1994,495-29-4565,2
395792,Miguel,Finley,M,miguel.finley@gmail.com,7/6/1980,7/12/2004,698-16-2863,4
929791,Esperanza,Paul,F,esperanza.paul@aol.com,12/10/1960,3/14/1990,318-11-9459,3
141326,Patricia,Briggs,F,patricia.briggs@yahoo.com,11/13/1975,5/5/2000,711-18-1075,3
232794,Forrest,Noel,M,forrest.noel@hotmail.com,3/25/1978,4/5/1999,107-98-0848,3
946835,Marjorie,Wells,F,marjorie.wells@bp.com,9/14/1961,12/2/2005,725-18-0941,3
894936,Vivian,Burnett,F,vivian.burnett@gmail.com,2/9/1960,9/6/2001,001-11-5958,1
946630,Duncan,Chen,M,duncan.chen@yahoo.co.uk,2/17/1964,11/2/2000,247-99-3757,2
381338,Miriam,Barrett,F,miriam.barrett@yahoo.ca,6/25/1990,3/8/2016,031-92-2692,3
141178,Adam,Kirby,M,adam.kirby@yahoo.ca,8/11/1963,8/3/2015,152-23-6880,2
169763,Benjamin,Macdonald,M,benjamin.macdonald@gmail.com,5/16/1976,4/20/1999,295-15-3529,1
326358,Neil,Murray,M,neil.murray@apple.com,9/17/1985,3/24/2016,375-37-8892,2
185077,Nichole,Oneil,F,nichole.oneil@shaw.ca,11/30/1957,3/24/2008,768-02-1938,1
901185,Jonathon,Pearson,M,jonathon.pearson@yahoo.com,9/30/1967,8/17/2015,263-99-7250,3
264960,Brent,Bryant,M,brent.bryant@aol.com,5/9/1960,12/30/1985,592-99-1277,2
248449,Carlene,Cain,F,carlene.cain@rediffmail.com,11/25/1985,6/25/2007,056-02-8441,1
906870,Arnulfo,Pittman,M,arnulfo.pittman@yahoo.ca,9/26/1972,5/11/2002,355-08-6207,1
160503,Nickolas,Williams,M,nickolas.williams@gmail.com,6/23/1985,6/15/2009,501-37-0648,2
212917,Raymundo,Kramer,M,raymundo.kramer@aol.com,4/29/1975,7/1/2002,526-99-6591,3
337955,Jeremiah,Dotson,M,jeremiah.dotson@cox.net,7/16/1988,1/21/2015,562-99-8892,4
